results_id,experiment_id,group_id,sample_id,analysis_name,analysis_id,original_assay_type,assay_id,analysis_type,datatype,datatype_id,file_access,file_type,replications,comments,document_id,original_assay_type_id
36,1,SDY984GSE79396,36,RNA Microarray of SDY984GSE79396,1,Blood.RNA Expression Assay,GPL13158,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,1
37,1,SDY984GSE79396,37,RNA Microarray of SDY984GSE79396,1,Blood.RNA Expression Assay,GPL13158,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,1
38,1,SDY984GSE79396,38,RNA Microarray of SDY984GSE79396,1,Blood.RNA Expression Assay,GPL13158,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,1
39,1,SDY984GSE79396,39,RNA Microarray of SDY984GSE79396,1,Blood.RNA Expression Assay,GPL13158,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,1
40,1,SDY984GSE79396,40,RNA Microarray of SDY984GSE79396,1,Blood.RNA Expression Assay,GPL13158,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,1
41,1,SDY984GSE79396,41,RNA Microarray of SDY984GSE79396,1,Blood.RNA Expression Assay,GPL13158,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,1
42,1,SDY984GSE79396,42,RNA Microarray of SDY984GSE79396,1,Blood.RNA Expression Assay,GPL13158,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,1
43,1,SDY984GSE79396,43,RNA Microarray of SDY984GSE79396,1,Blood.RNA Expression Assay,GPL13158,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,1
44,1,SDY984GSE79396,44,RNA Microarray of SDY984GSE79396,1,Blood.RNA Expression Assay,GPL13158,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,1
45,1,SDY984GSE79396,45,RNA Microarray of SDY984GSE79396,1,Blood.RNA Expression Assay,GPL13158,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,1
46,1,SDY984GSE79396,46,RNA Microarray of SDY984GSE79396,1,Blood.RNA Expression Assay,GPL13158,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,1
47,1,SDY984GSE79396,47,RNA Microarray of SDY984GSE79396,1,Blood.RNA Expression Assay,GPL13158,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,1
48,1,SDY984GSE79396,48,RNA Microarray of SDY984GSE79396,1,Blood.RNA Expression Assay,GPL13158,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,1
49,1,SDY984GSE79396,49,RNA Microarray of SDY984GSE79396,1,Blood.RNA Expression Assay,GPL13158,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,1
50,1,SDY984GSE79396,50,RNA Microarray of SDY984GSE79396,1,Blood.RNA Expression Assay,GPL13158,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,1
51,1,SDY984GSE79396,51,RNA Microarray of SDY984GSE79396,1,Blood.RNA Expression Assay,GPL13158,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,1
52,1,SDY984GSE79396,52,RNA Microarray of SDY984GSE79396,1,Blood.RNA Expression Assay,GPL13158,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,1
53,1,SDY984GSE79396,53,RNA Microarray of SDY984GSE79396,1,Blood.RNA Expression Assay,GPL13158,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,1
54,1,SDY984GSE79396,54,RNA Microarray of SDY984GSE79396,1,Blood.RNA Expression Assay,GPL13158,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,1
55,1,SDY984GSE79396,55,RNA Microarray of SDY984GSE79396,1,Blood.RNA Expression Assay,GPL13158,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,1
56,1,SDY984GSE79396,56,RNA Microarray of SDY984GSE79396,1,Blood.RNA Expression Assay,GPL13158,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,1
57,1,SDY984GSE79396,57,RNA Microarray of SDY984GSE79396,1,Blood.RNA Expression Assay,GPL13158,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,1
58,1,SDY984GSE79396,58,RNA Microarray of SDY984GSE79396,1,Blood.RNA Expression Assay,GPL13158,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,1
59,1,SDY984GSE79396,59,RNA Microarray of SDY984GSE79396,1,Blood.RNA Expression Assay,GPL13158,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,1
60,1,SDY984GSE79396,60,RNA Microarray of SDY984GSE79396,1,Blood.RNA Expression Assay,GPL13158,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,1
61,1,SDY984GSE79396,61,RNA Microarray of SDY984GSE79396,1,Blood.RNA Expression Assay,GPL13158,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,1
62,1,SDY984GSE79396,62,RNA Microarray of SDY984GSE79396,1,Blood.RNA Expression Assay,GPL13158,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,1
63,1,SDY984GSE79396,63,RNA Microarray of SDY984GSE79396,1,Blood.RNA Expression Assay,GPL13158,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,1
64,1,SDY984GSE79396,64,RNA Microarray of SDY984GSE79396,1,Blood.RNA Expression Assay,GPL13158,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,1
65,1,SDY984GSE79396,65,RNA Microarray of SDY984GSE79396,1,Blood.RNA Expression Assay,GPL13158,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,1
66,1,SDY984GSE79396,66,RNA Microarray of SDY984GSE79396,1,Blood.RNA Expression Assay,GPL13158,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,1
67,1,SDY984GSE79396,67,RNA Microarray of SDY984GSE79396,1,Blood.RNA Expression Assay,GPL13158,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,1
68,1,SDY984GSE79396,68,RNA Microarray of SDY984GSE79396,1,Blood.RNA Expression Assay,GPL13158,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,1
69,1,SDY984GSE79396,69,RNA Microarray of SDY984GSE79396,1,Blood.RNA Expression Assay,GPL13158,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,1
70,1,SDY984GSE79396,70,RNA Microarray of SDY984GSE79396,1,Blood.RNA Expression Assay,GPL13158,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,1
71,1,SDY984GSE79396,71,RNA Microarray of SDY984GSE79396,1,Blood.RNA Expression Assay,GPL13158,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,1
72,1,SDY984GSE79396,72,RNA Microarray of SDY984GSE79396,1,Blood.RNA Expression Assay,GPL13158,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,1
73,1,SDY984GSE79396,73,RNA Microarray of SDY984GSE79396,1,Blood.RNA Expression Assay,GPL13158,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,1
74,1,SDY984GSE79396,74,RNA Microarray of SDY984GSE79396,1,Blood.RNA Expression Assay,GPL13158,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,1
75,1,SDY984GSE79396,75,RNA Microarray of SDY984GSE79396,1,Blood.RNA Expression Assay,GPL13158,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,1
76,1,SDY984GSE79396,76,RNA Microarray of SDY984GSE79396,1,Blood.RNA Expression Assay,GPL13158,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,1
77,1,SDY984GSE79396,77,RNA Microarray of SDY984GSE79396,1,Blood.RNA Expression Assay,GPL13158,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,1
78,1,SDY984GSE79396,78,RNA Microarray of SDY984GSE79396,1,Blood.RNA Expression Assay,GPL13158,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,1
79,1,SDY984GSE79396,79,RNA Microarray of SDY984GSE79396,1,Blood.RNA Expression Assay,GPL13158,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,1
80,1,SDY984GSE79396,80,RNA Microarray of SDY984GSE79396,1,Blood.RNA Expression Assay,GPL13158,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,1
81,1,SDY984GSE79396,81,RNA Microarray of SDY984GSE79396,1,Blood.RNA Expression Assay,GPL13158,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,1
82,1,SDY984GSE79396,82,RNA Microarray of SDY984GSE79396,1,Blood.RNA Expression Assay,GPL13158,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,1
83,1,SDY984GSE79396,83,RNA Microarray of SDY984GSE79396,1,Blood.RNA Expression Assay,GPL13158,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,1
84,1,SDY984GSE79396,84,RNA Microarray of SDY984GSE79396,1,Blood.RNA Expression Assay,GPL13158,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,1
85,1,SDY984GSE79396,85,RNA Microarray of SDY984GSE79396,1,Blood.RNA Expression Assay,GPL13158,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,1
86,1,SDY984GSE79396,86,RNA Microarray of SDY984GSE79396,1,Blood.RNA Expression Assay,GPL13158,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,1
87,1,SDY984GSE79396,87,RNA Microarray of SDY984GSE79396,1,Blood.RNA Expression Assay,GPL13158,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,1
88,1,SDY984GSE79396,88,RNA Microarray of SDY984GSE79396,1,Blood.RNA Expression Assay,GPL13158,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,1
89,1,SDY984GSE79396,89,RNA Microarray of SDY984GSE79396,1,Blood.RNA Expression Assay,GPL13158,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,1
90,1,SDY984GSE79396,90,RNA Microarray of SDY984GSE79396,1,Blood.RNA Expression Assay,GPL13158,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,1
91,1,SDY984GSE79396,91,RNA Microarray of SDY984GSE79396,1,Blood.RNA Expression Assay,GPL13158,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,1
92,1,SDY984GSE79396,92,RNA Microarray of SDY984GSE79396,1,Blood.RNA Expression Assay,GPL13158,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,1
93,1,SDY984GSE79396,93,RNA Microarray of SDY984GSE79396,1,Blood.RNA Expression Assay,GPL13158,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,1
94,1,SDY984GSE79396,94,RNA Microarray of SDY984GSE79396,1,Blood.RNA Expression Assay,GPL13158,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,1
95,1,SDY984GSE79396,95,RNA Microarray of SDY984GSE79396,1,Blood.RNA Expression Assay,GPL13158,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,1
96,1,SDY984GSE79396,96,RNA Microarray of SDY984GSE79396,1,Blood.RNA Expression Assay,GPL13158,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,1
97,1,SDY984GSE79396,97,RNA Microarray of SDY984GSE79396,1,Blood.RNA Expression Assay,GPL13158,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,1
98,1,SDY984GSE79396,98,RNA Microarray of SDY984GSE79396,1,Blood.RNA Expression Assay,GPL13158,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,1
99,1,SDY984GSE79396,99,RNA Microarray of SDY984GSE79396,1,Blood.RNA Expression Assay,GPL13158,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,1
100,1,SDY984GSE79396,100,RNA Microarray of SDY984GSE79396,1,Blood.RNA Expression Assay,GPL13158,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,1
101,1,SDY984GSE79396,101,RNA Microarray of SDY984GSE79396,1,Blood.RNA Expression Assay,GPL13158,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,1
102,1,SDY984GSE79396,102,RNA Microarray of SDY984GSE79396,1,Blood.RNA Expression Assay,GPL13158,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,1
103,1,SDY984GSE79396,103,RNA Microarray of SDY984GSE79396,1,Blood.RNA Expression Assay,GPL13158,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,1
104,1,SDY984GSE79396,104,RNA Microarray of SDY984GSE79396,1,Blood.RNA Expression Assay,GPL13158,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,1
105,1,SDY984GSE79396,105,RNA Microarray of SDY984GSE79396,1,Blood.RNA Expression Assay,GPL13158,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,1
106,1,SDY984GSE79396,106,RNA Microarray of SDY984GSE79396,1,Blood.RNA Expression Assay,GPL13158,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,1
107,1,SDY984GSE79396,107,RNA Microarray of SDY984GSE79396,1,Blood.RNA Expression Assay,GPL13158,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,1
108,1,SDY984GSE79396,108,RNA Microarray of SDY984GSE79396,1,Blood.RNA Expression Assay,GPL13158,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,1
109,1,SDY984GSE79396,109,RNA Microarray of SDY984GSE79396,1,Blood.RNA Expression Assay,GPL13158,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,1
110,1,SDY984GSE79396,110,RNA Microarray of SDY984GSE79396,1,Blood.RNA Expression Assay,GPL13158,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,1
111,1,SDY984GSE79396,111,RNA Microarray of SDY984GSE79396,1,Blood.RNA Expression Assay,GPL13158,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,1
112,1,SDY984GSE79396,112,RNA Microarray of SDY984GSE79396,1,Blood.RNA Expression Assay,GPL13158,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,1
113,1,SDY984GSE79396,113,RNA Microarray of SDY984GSE79396,1,Blood.RNA Expression Assay,GPL13158,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,1
114,1,SDY984GSE79396,114,RNA Microarray of SDY984GSE79396,1,Blood.RNA Expression Assay,GPL13158,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,1
115,1,SDY984GSE79396,115,RNA Microarray of SDY984GSE79396,1,Blood.RNA Expression Assay,GPL13158,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,1
116,1,SDY984GSE79396,116,RNA Microarray of SDY984GSE79396,1,Blood.RNA Expression Assay,GPL13158,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,1
117,1,SDY984GSE79396,117,RNA Microarray of SDY984GSE79396,1,Blood.RNA Expression Assay,GPL13158,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,1
118,1,SDY984GSE79396,118,RNA Microarray of SDY984GSE79396,1,Blood.RNA Expression Assay,GPL13158,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,1
119,1,SDY984GSE79396,119,RNA Microarray of SDY984GSE79396,1,Blood.RNA Expression Assay,GPL13158,LIMMA,VIGET,,Zenodo,csv,1,,immport_vaccine_expression_matrix_mapped_merged_approved_genes_091421.csv,1
