study_id,study_type,study_type_id,study_name,study_description,reference_id,reference_source,comments
2960,Clinical Investigation,OBI_0003697,Systems Biology of 2007 Influenza Vaccination in Humans (See companion studies SDY269 2008 / SDY270 2009 / SDY271 Role for CaMKIV in the Regulation of Antibody Responses to Influenza Vaccine),Using a systems biology approach to study innate and adaptive responses to influenza vaccination in humans during the 2007-2008 influenza season.,SDY61,ImmPort,
2987,Clinical Investigation,OBI_0003697,Cellular and molecular characterization of the immune response in healthy NIH employees at baseline and after immunization with the H1N1 or seasonal influenza vaccines,"The Center for Human Immunology, Autoimmunity, and Inflammatory Diseases proposes this protocol designed to obtain blood from healthy adult subjects (NIH employees) prior to vaccination and then at various time points after receiving the FDA-licensed seasonal and H1N1 influenza vaccine. These samples will be used to perform a comprehensive and detailed analysis of the immune system at baseline and in response to vaccination. To our knowledge, this protocol will be the first study to characterize the human cellular and molecular immune system parameters, or immunome, in a large number of healthy adults (NIH employees). This information may be useful in designing newer, more effective vaccines to prevent the spread of H1N1 influenza.",SDY80,ImmPort,
3104,Clinical Investigation,OBI_0003697,Systems scale interactive exploration reveals quantitative and qualitative differences in response to 2009-2010 Fluzone influenza vaccine and pneumococcal vaccine,Systems approach to study immune response to seasonal influenza and 23-valent pneumoccocal vaccination in healthy adults.,SDY180,ImmPort,
3438,Clinical Investigation,OBI_0003697,"Immunologic and genomic signatures of influenza vaccine response - 2011 (see companion studies SDY63, SDY400, SDY520)",Project 1: Immunologic and genomic signatures of influenza vaccine response - year2 2011,SDY404,ImmPort,
3594,Clinical Investigation,OBI_0003697,"Systems Biology Approach to Study Influenza Vaccine 2011-12 in Healthy Children (see companion studies SDY364, SDY368, SDY387)",To characterize the cellular and transcriptional signatures of response to Flu vaccine in healthy children.,SDY144,ImmPort,
3598,Clinical Investigation,OBI_0003697,"Differences in Antibody Responses Between Trivalent Inactivated Influenza Vaccine and Live Attenuated Influenza Vaccine (2011-12) Correlate With the Kinetics and Magnitude of Interferon Signaling in Children  (see companion studies SDY144, SDY360)",To characterize the cellular and transcriptional signatures of response to Flu vaccine in healthy children.,SDY522,ImmPort,
3729,Clinical Investigation,OBI_0003697,T cell responses to H1N1v and a longitudinal study of seasonal influenza vaccination (TIV) SLVP015 2010 (See companion studies SDY315 2012 / SDY312 2009 / SDY314 2008 / SDY112 2011),"Systems biology approach to examine effects of seasonal flu vaccination in adults of different ages on gene expression, cytokine stimulation and serum cytokines with parameters such as immune senescence to uncover new markers and mechanisms behind failure of immune function in many older people.",SDY311,ImmPort,
4158,Clinical Investigation,OBI_0003697,"Immunologic and genomic signatures of influenza vaccine response - 2012 (see companion studies SDY63, SDY404, SDY520)",Project 1: Immunologic and genomic signatures of influenza vaccine response - year3 2012,SDY400,ImmPort,
4514,Clinical Investigation,OBI_0003697,VZV vaccination in the elderly SLVP020,Healthy adults (50+ years old) with history of varicella but no history of zoster are vaccinated with Zostavax. Blood and serum are taken prior to vaccination and at several points after. A systems biology approach will be used to identify age-related decreases in immune function and potential predictors and correlates of protection.,SDY111,ImmPort,
4534,Clinical Investigation,OBI_0003697,"Systems Biology of 2010 trivalent Influenza vaccine (TIV) in young and elderly (see companion study SDY61 2007, SDY270 2009, SDY119 2011)","Single center, open label study in which adult healthy volunteers with no contraindications to immunization will be vaccinated with TIV. Blood samples will be collected on Days D0 (at enrollment) and D1, D3, D7, D14, D30, D180 post vaccination to study innate and/or adaptive immunity markers. Even though influenza vaccination is considered safe, volunteers will be asked to report any local or systemic AEs from Day 0 (vaccination) to Day 7 in memory aids. Reactogenicity events will also be evaluated by injection site examination on visits at D0, D1, D3 and D7. Volunteers will be also asked to report local and systemic AEs developing the day of a blood draw.",SDY56,ImmPort,
3,Hypothesis-Generating Investigation,OBI_0000356,VIGET:Vaccine Immune Gemone Expression Tool,,37180100,PUBMED,
