sample_id,group_id,organism_id,collection,collection_id,collection_time,collection_time_unit,collection_time_unit_id,T0_definitionexpsample_type,expsample_type_id,expsample_reference_id,expsample_reference_name,biosample_type,biosample_type_id,biosample_reference_id,biosample_reference_name,replicates,expsample_type,expsample_source
35,,35,blood draw,EFO_0009121,0.0,Days,UO_0000035,,,GSE79396,GSM2094472,PBMC,NCIT_C12519,ES1067569,,,PBMC : NA,GEO
36,,36,blood draw,EFO_0009121,0.0,Days,UO_0000035,,,GSE79396,GSM2094473,PBMC,NCIT_C12519,ES1067570,,,PBMC : NA,GEO
37,,37,blood draw,EFO_0009121,0.0,Days,UO_0000035,,,GSE79396,GSM2094474,PBMC,NCIT_C12519,ES1067571,,,PBMC : NA,GEO
38,,38,blood draw,EFO_0009121,0.0,Days,UO_0000035,,,GSE79396,GSM2094477,PBMC,NCIT_C12519,ES1067572,,,PBMC : NA,GEO
39,,39,blood draw,EFO_0009121,0.0,Days,UO_0000035,,,GSE79396,GSM2094478,PBMC,NCIT_C12519,ES1067573,,,PBMC : NA,GEO
40,,40,blood draw,EFO_0009121,0.0,Days,UO_0000035,,,GSE79396,GSM2094475,PBMC,NCIT_C12519,ES1067574,,,PBMC : NA,GEO
41,,41,blood draw,EFO_0009121,0.0,Days,UO_0000035,,,GSE79396,GSM2094476,PBMC,NCIT_C12519,ES1067575,,,PBMC : NA,GEO
42,,42,blood draw,EFO_0009121,0.0,Days,UO_0000035,,,GSE79396,GSM2094479,PBMC,NCIT_C12519,ES1067576,,,PBMC : NA,GEO
43,,43,blood draw,EFO_0009121,0.0,Days,UO_0000035,,,GSE79396,GSM2094480,PBMC,NCIT_C12519,ES1067577,,,PBMC : NA,GEO
44,,44,blood draw,EFO_0009121,0.0,Days,UO_0000035,,,GSE79396,GSM2094481,PBMC,NCIT_C12519,ES1067578,,,PBMC : NA,GEO
45,,45,blood draw,EFO_0009121,0.0,Days,UO_0000035,,,GSE79396,GSM2094488,PBMC,NCIT_C12519,ES1067579,,,PBMC : NA,GEO
46,,46,blood draw,EFO_0009121,0.0,Days,UO_0000035,,,GSE79396,GSM2094482,PBMC,NCIT_C12519,ES1067580,,,PBMC : NA,GEO
47,,47,blood draw,EFO_0009121,0.0,Days,UO_0000035,,,GSE79396,GSM2094485,PBMC,NCIT_C12519,ES1067581,,,PBMC : NA,GEO
48,,48,blood draw,EFO_0009121,0.0,Days,UO_0000035,,,GSE79396,GSM2094483,PBMC,NCIT_C12519,ES1067582,,,PBMC : NA,GEO
49,,49,blood draw,EFO_0009121,0.0,Days,UO_0000035,,,GSE79396,GSM2094484,PBMC,NCIT_C12519,ES1067583,,,PBMC : NA,GEO
50,,50,blood draw,EFO_0009121,0.0,Days,UO_0000035,,,GSE79396,GSM2094486,PBMC,NCIT_C12519,ES1067584,,,PBMC : NA,GEO
51,,51,blood draw,EFO_0009121,0.0,Days,UO_0000035,,,GSE79396,GSM2094487,PBMC,NCIT_C12519,ES1067585,,,PBMC : NA,GEO
52,,52,blood draw,EFO_0009121,0.0,Days,UO_0000035,,,GSE79396,GSM2094489,PBMC,NCIT_C12519,ES1067586,,,PBMC : NA,GEO
53,,53,blood draw,EFO_0009121,0.0,Days,UO_0000035,,,GSE79396,GSM2094490,PBMC,NCIT_C12519,ES1067587,,,PBMC : NA,GEO
54,,54,blood draw,EFO_0009121,0.0,Days,UO_0000035,,,GSE79396,GSM2094499,PBMC,NCIT_C12519,ES1067588,,,PBMC : NA,GEO
55,,55,blood draw,EFO_0009121,0.0,Days,UO_0000035,,,GSE79396,GSM2094491,PBMC,NCIT_C12519,ES1067589,,,PBMC : NA,GEO
56,,56,blood draw,EFO_0009121,0.0,Days,UO_0000035,,,GSE79396,GSM2094492,PBMC,NCIT_C12519,ES1067590,,,PBMC : NA,GEO
57,,57,blood draw,EFO_0009121,0.0,Days,UO_0000035,,,GSE79396,GSM2094493,PBMC,NCIT_C12519,ES1067591,,,PBMC : NA,GEO
58,,58,blood draw,EFO_0009121,0.0,Days,UO_0000035,,,GSE79396,GSM2094496,PBMC,NCIT_C12519,ES1067592,,,PBMC : NA,GEO
59,,59,blood draw,EFO_0009121,0.0,Days,UO_0000035,,,GSE79396,GSM2094494,PBMC,NCIT_C12519,ES1067593,,,PBMC : NA,GEO
60,,60,blood draw,EFO_0009121,0.0,Days,UO_0000035,,,GSE79396,GSM2094501,PBMC,NCIT_C12519,ES1067594,,,PBMC : NA,GEO
61,,61,blood draw,EFO_0009121,0.0,Days,UO_0000035,,,GSE79396,GSM2094502,PBMC,NCIT_C12519,ES1067595,,,PBMC : NA,GEO
62,,62,blood draw,EFO_0009121,0.0,Days,UO_0000035,,,GSE79396,GSM2094497,PBMC,NCIT_C12519,ES1067596,,,PBMC : NA,GEO
63,,63,blood draw,EFO_0009121,0.0,Days,UO_0000035,,,GSE79396,GSM2094495,PBMC,NCIT_C12519,ES1067597,,,PBMC : NA,GEO
64,,64,blood draw,EFO_0009121,0.0,Days,UO_0000035,,,GSE79396,GSM2094500,PBMC,NCIT_C12519,ES1067598,,,PBMC : NA,GEO
65,,65,blood draw,EFO_0009121,0.0,Days,UO_0000035,,,GSE79396,GSM2094498,PBMC,NCIT_C12519,ES1067599,,,PBMC : NA,GEO
66,,66,blood draw,EFO_0009121,0.0,Days,UO_0000035,,,GSE79396,GSM2094503,PBMC,NCIT_C12519,ES1067600,,,PBMC : NA,GEO
67,,67,blood draw,EFO_0009121,0.0,Days,UO_0000035,,,GSE79396,GSM2094504,PBMC,NCIT_C12519,ES1067601,,,PBMC : NA,GEO
68,,68,blood draw,EFO_0009121,0.0,Days,UO_0000035,,,GSE79396,GSM2094506,PBMC,NCIT_C12519,ES1067602,,,PBMC : NA,GEO
69,,69,blood draw,EFO_0009121,0.0,Days,UO_0000035,,,GSE79396,GSM2094505,PBMC,NCIT_C12519,ES1067603,,,PBMC : NA,GEO
70,,70,blood draw,EFO_0009121,0.0,Days,UO_0000035,,,GSE79396,GSM2094507,PBMC,NCIT_C12519,ES1067604,,,PBMC : NA,GEO
71,,71,blood draw,EFO_0009121,0.0,Days,UO_0000035,,,GSE79396,GSM2094508,PBMC,NCIT_C12519,ES1067605,,,PBMC : NA,GEO
72,,72,blood draw,EFO_0009121,0.0,Days,UO_0000035,,,GSE79396,GSM2094509,PBMC,NCIT_C12519,ES1067606,,,PBMC : NA,GEO
73,,1,blood draw,EFO_0009121,1.0,Days,UO_0000035,,,GSE79396,GSM2094510,PBMC,NCIT_C12519,ES1067607,,,PBMC : NA,GEO
74,,2,blood draw,EFO_0009121,1.0,Days,UO_0000035,,,GSE79396,GSM2094511,PBMC,NCIT_C12519,ES1067608,,,PBMC : NA,GEO
75,,3,blood draw,EFO_0009121,1.0,Days,UO_0000035,,,GSE79396,GSM2094512,PBMC,NCIT_C12519,ES1067609,,,PBMC : NA,GEO
76,,4,blood draw,EFO_0009121,1.0,Days,UO_0000035,,,GSE79396,GSM2094513,PBMC,NCIT_C12519,ES1067610,,,PBMC : NA,GEO
77,,5,blood draw,EFO_0009121,1.0,Days,UO_0000035,,,GSE79396,GSM2094514,PBMC,NCIT_C12519,ES1067611,,,PBMC : NA,GEO
78,,6,blood draw,EFO_0009121,1.0,Days,UO_0000035,,,GSE79396,GSM2094515,PBMC,NCIT_C12519,ES1067612,,,PBMC : NA,GEO
79,,7,blood draw,EFO_0009121,1.0,Days,UO_0000035,,,GSE79396,GSM2094519,PBMC,NCIT_C12519,ES1067613,,,PBMC : NA,GEO
80,,8,blood draw,EFO_0009121,1.0,Days,UO_0000035,,,GSE79396,GSM2094516,PBMC,NCIT_C12519,ES1067614,,,PBMC : NA,GEO
81,,9,blood draw,EFO_0009121,1.0,Days,UO_0000035,,,GSE79396,GSM2094517,PBMC,NCIT_C12519,ES1067615,,,PBMC : NA,GEO
82,,10,blood draw,EFO_0009121,1.0,Days,UO_0000035,,,GSE79396,GSM2094518,PBMC,NCIT_C12519,ES1067616,,,PBMC : NA,GEO
83,,11,blood draw,EFO_0009121,1.0,Days,UO_0000035,,,GSE79396,GSM2094520,PBMC,NCIT_C12519,ES1067617,,,PBMC : NA,GEO
84,,12,blood draw,EFO_0009121,1.0,Days,UO_0000035,,,GSE79396,GSM2094521,PBMC,NCIT_C12519,ES1067618,,,PBMC : NA,GEO
85,,13,blood draw,EFO_0009121,1.0,Days,UO_0000035,,,GSE79396,GSM2094522,PBMC,NCIT_C12519,ES1067619,,,PBMC : NA,GEO
86,,14,blood draw,EFO_0009121,1.0,Days,UO_0000035,,,GSE79396,GSM2094523,PBMC,NCIT_C12519,ES1067620,,,PBMC : NA,GEO
87,,15,blood draw,EFO_0009121,1.0,Days,UO_0000035,,,GSE79396,GSM2094524,PBMC,NCIT_C12519,ES1067621,,,PBMC : NA,GEO
88,,16,blood draw,EFO_0009121,1.0,Days,UO_0000035,,,GSE79396,GSM2094525,PBMC,NCIT_C12519,ES1067622,,,PBMC : NA,GEO
89,,17,blood draw,EFO_0009121,1.0,Days,UO_0000035,,,GSE79396,GSM2094526,PBMC,NCIT_C12519,ES1067623,,,PBMC : NA,GEO
90,,18,blood draw,EFO_0009121,1.0,Days,UO_0000035,,,GSE79396,GSM2094527,PBMC,NCIT_C12519,ES1067624,,,PBMC : NA,GEO
91,,19,blood draw,EFO_0009121,1.0,Days,UO_0000035,,,GSE79396,GSM2094528,PBMC,NCIT_C12519,ES1067625,,,PBMC : NA,GEO
92,,20,blood draw,EFO_0009121,1.0,Days,UO_0000035,,,GSE79396,GSM2094540,PBMC,NCIT_C12519,ES1067626,,,PBMC : NA,GEO
93,,21,blood draw,EFO_0009121,1.0,Days,UO_0000035,,,GSE79396,GSM2094529,PBMC,NCIT_C12519,ES1067627,,,PBMC : NA,GEO
94,,22,blood draw,EFO_0009121,1.0,Days,UO_0000035,,,GSE79396,GSM2094534,PBMC,NCIT_C12519,ES1067628,,,PBMC : NA,GEO
95,,23,blood draw,EFO_0009121,1.0,Days,UO_0000035,,,GSE79396,GSM2094535,PBMC,NCIT_C12519,ES1067629,,,PBMC : NA,GEO
96,,24,blood draw,EFO_0009121,1.0,Days,UO_0000035,,,GSE79396,GSM2094530,PBMC,NCIT_C12519,ES1067630,,,PBMC : NA,GEO
97,,25,blood draw,EFO_0009121,1.0,Days,UO_0000035,,,GSE79396,GSM2094531,PBMC,NCIT_C12519,ES1067631,,,PBMC : NA,GEO
98,,26,blood draw,EFO_0009121,1.0,Days,UO_0000035,,,GSE79396,GSM2094541,PBMC,NCIT_C12519,ES1067632,,,PBMC : NA,GEO
99,,27,blood draw,EFO_0009121,1.0,Days,UO_0000035,,,GSE79396,GSM2094532,PBMC,NCIT_C12519,ES1067633,,,PBMC : NA,GEO
100,,28,blood draw,EFO_0009121,1.0,Days,UO_0000035,,,GSE79396,GSM2094533,PBMC,NCIT_C12519,ES1067634,,,PBMC : NA,GEO
101,,29,blood draw,EFO_0009121,1.0,Days,UO_0000035,,,GSE79396,GSM2094536,PBMC,NCIT_C12519,ES1067635,,,PBMC : NA,GEO
102,,30,blood draw,EFO_0009121,1.0,Days,UO_0000035,,,GSE79396,GSM2094537,PBMC,NCIT_C12519,ES1067636,,,PBMC : NA,GEO
103,,31,blood draw,EFO_0009121,1.0,Days,UO_0000035,,,GSE79396,GSM2094538,PBMC,NCIT_C12519,ES1067637,,,PBMC : NA,GEO
104,,32,blood draw,EFO_0009121,1.0,Days,UO_0000035,,,GSE79396,GSM2094539,PBMC,NCIT_C12519,ES1067638,,,PBMC : NA,GEO
105,,33,blood draw,EFO_0009121,1.0,Days,UO_0000035,,,GSE79396,GSM2094542,PBMC,NCIT_C12519,ES1067639,,,PBMC : NA,GEO
106,,34,blood draw,EFO_0009121,1.0,Days,UO_0000035,,,GSE79396,GSM2094543,PBMC,NCIT_C12519,ES1067640,,,PBMC : NA,GEO
107,,35,blood draw,EFO_0009121,1.0,Days,UO_0000035,,,GSE79396,GSM2094544,PBMC,NCIT_C12519,ES1067641,,,PBMC : NA,GEO
108,,36,blood draw,EFO_0009121,1.0,Days,UO_0000035,,,GSE79396,GSM2094545,PBMC,NCIT_C12519,ES1067642,,,PBMC : NA,GEO
109,,37,blood draw,EFO_0009121,1.0,Days,UO_0000035,,,GSE79396,GSM2094546,PBMC,NCIT_C12519,ES1067643,,,PBMC : NA,GEO
110,,38,blood draw,EFO_0009121,1.0,Days,UO_0000035,,,GSE79396,GSM2094549,PBMC,NCIT_C12519,ES1067644,,,PBMC : NA,GEO
111,,39,blood draw,EFO_0009121,1.0,Days,UO_0000035,,,GSE79396,GSM2094550,PBMC,NCIT_C12519,ES1067645,,,PBMC : NA,GEO
112,,40,blood draw,EFO_0009121,1.0,Days,UO_0000035,,,GSE79396,GSM2094547,PBMC,NCIT_C12519,ES1067646,,,PBMC : NA,GEO
113,,41,blood draw,EFO_0009121,1.0,Days,UO_0000035,,,GSE79396,GSM2094548,PBMC,NCIT_C12519,ES1067647,,,PBMC : NA,GEO
114,,42,blood draw,EFO_0009121,1.0,Days,UO_0000035,,,GSE79396,GSM2094551,PBMC,NCIT_C12519,ES1067648,,,PBMC : NA,GEO
115,,43,blood draw,EFO_0009121,1.0,Days,UO_0000035,,,GSE79396,GSM2094552,PBMC,NCIT_C12519,ES1067649,,,PBMC : NA,GEO
116,,44,blood draw,EFO_0009121,1.0,Days,UO_0000035,,,GSE79396,GSM2094553,PBMC,NCIT_C12519,ES1067650,,,PBMC : NA,GEO
117,,45,blood draw,EFO_0009121,1.0,Days,UO_0000035,,,GSE79396,GSM2094560,PBMC,NCIT_C12519,ES1067651,,,PBMC : NA,GEO
118,,46,blood draw,EFO_0009121,1.0,Days,UO_0000035,,,GSE79396,GSM2094554,PBMC,NCIT_C12519,ES1067652,,,PBMC : NA,GEO
119,,47,blood draw,EFO_0009121,1.0,Days,UO_0000035,,,GSE79396,GSM2094557,PBMC,NCIT_C12519,ES1067653,,,PBMC : NA,GEO
120,,48,blood draw,EFO_0009121,1.0,Days,UO_0000035,,,GSE79396,GSM2094555,PBMC,NCIT_C12519,ES1067654,,,PBMC : NA,GEO
121,,49,blood draw,EFO_0009121,1.0,Days,UO_0000035,,,GSE79396,GSM2094556,PBMC,NCIT_C12519,ES1067655,,,PBMC : NA,GEO
122,,50,blood draw,EFO_0009121,1.0,Days,UO_0000035,,,GSE79396,GSM2094558,PBMC,NCIT_C12519,ES1067656,,,PBMC : NA,GEO
123,,51,blood draw,EFO_0009121,1.0,Days,UO_0000035,,,GSE79396,GSM2094559,PBMC,NCIT_C12519,ES1067657,,,PBMC : NA,GEO
124,,52,blood draw,EFO_0009121,1.0,Days,UO_0000035,,,GSE79396,GSM2094561,PBMC,NCIT_C12519,ES1067658,,,PBMC : NA,GEO
125,,53,blood draw,EFO_0009121,1.0,Days,UO_0000035,,,GSE79396,GSM2094562,PBMC,NCIT_C12519,ES1067659,,,PBMC : NA,GEO
126,,54,blood draw,EFO_0009121,1.0,Days,UO_0000035,,,GSE79396,GSM2094571,PBMC,NCIT_C12519,ES1067660,,,PBMC : NA,GEO
127,,55,blood draw,EFO_0009121,1.0,Days,UO_0000035,,,GSE79396,GSM2094563,PBMC,NCIT_C12519,ES1067661,,,PBMC : NA,GEO
128,,56,blood draw,EFO_0009121,1.0,Days,UO_0000035,,,GSE79396,GSM2094564,PBMC,NCIT_C12519,ES1067662,,,PBMC : NA,GEO
129,,57,blood draw,EFO_0009121,1.0,Days,UO_0000035,,,GSE79396,GSM2094565,PBMC,NCIT_C12519,ES1067663,,,PBMC : NA,GEO
130,,58,blood draw,EFO_0009121,1.0,Days,UO_0000035,,,GSE79396,GSM2094568,PBMC,NCIT_C12519,ES1067664,,,PBMC : NA,GEO
131,,59,blood draw,EFO_0009121,1.0,Days,UO_0000035,,,GSE79396,GSM2094566,PBMC,NCIT_C12519,ES1067665,,,PBMC : NA,GEO
132,,60,blood draw,EFO_0009121,1.0,Days,UO_0000035,,,GSE79396,GSM2094573,PBMC,NCIT_C12519,ES1067666,,,PBMC : NA,GEO
133,,61,blood draw,EFO_0009121,1.0,Days,UO_0000035,,,GSE79396,GSM2094574,PBMC,NCIT_C12519,ES1067667,,,PBMC : NA,GEO
134,,62,blood draw,EFO_0009121,1.0,Days,UO_0000035,,,GSE79396,GSM2094569,PBMC,NCIT_C12519,ES1067668,,,PBMC : NA,GEO
135,,63,blood draw,EFO_0009121,1.0,Days,UO_0000035,,,GSE79396,GSM2094567,PBMC,NCIT_C12519,ES1067669,,,PBMC : NA,GEO
136,,64,blood draw,EFO_0009121,1.0,Days,UO_0000035,,,GSE79396,GSM2094572,PBMC,NCIT_C12519,ES1067670,,,PBMC : NA,GEO
137,,65,blood draw,EFO_0009121,1.0,Days,UO_0000035,,,GSE79396,GSM2094570,PBMC,NCIT_C12519,ES1067671,,,PBMC : NA,GEO
138,,66,blood draw,EFO_0009121,1.0,Days,UO_0000035,,,GSE79396,GSM2094575,PBMC,NCIT_C12519,ES1067672,,,PBMC : NA,GEO
139,,67,blood draw,EFO_0009121,1.0,Days,UO_0000035,,,GSE79396,GSM2094576,PBMC,NCIT_C12519,ES1067673,,,PBMC : NA,GEO
140,,68,blood draw,EFO_0009121,1.0,Days,UO_0000035,,,GSE79396,GSM2094578,PBMC,NCIT_C12519,ES1067674,,,PBMC : NA,GEO
141,,69,blood draw,EFO_0009121,1.0,Days,UO_0000035,,,GSE79396,GSM2094577,PBMC,NCIT_C12519,ES1067675,,,PBMC : NA,GEO
142,,70,blood draw,EFO_0009121,1.0,Days,UO_0000035,,,GSE79396,GSM2094579,PBMC,NCIT_C12519,ES1067676,,,PBMC : NA,GEO
143,,71,blood draw,EFO_0009121,1.0,Days,UO_0000035,,,GSE79396,GSM2094580,PBMC,NCIT_C12519,ES1067677,,,PBMC : NA,GEO
144,,72,blood draw,EFO_0009121,1.0,Days,UO_0000035,,,GSE79396,GSM2094581,PBMC,NCIT_C12519,ES1067678,,,PBMC : NA,GEO
145,,1,blood draw,EFO_0009121,3.0,Days,UO_0000035,,,GSE79396,GSM2094582,PBMC,NCIT_C12519,ES1067679,,,PBMC : NA,GEO
146,,2,blood draw,EFO_0009121,3.0,Days,UO_0000035,,,GSE79396,GSM2094583,PBMC,NCIT_C12519,ES1067680,,,PBMC : NA,GEO
147,,3,blood draw,EFO_0009121,3.0,Days,UO_0000035,,,GSE79396,GSM2094584,PBMC,NCIT_C12519,ES1067681,,,PBMC : NA,GEO
148,,4,blood draw,EFO_0009121,3.0,Days,UO_0000035,,,GSE79396,GSM2094585,PBMC,NCIT_C12519,ES1067682,,,PBMC : NA,GEO
149,,5,blood draw,EFO_0009121,3.0,Days,UO_0000035,,,GSE79396,GSM2094586,PBMC,NCIT_C12519,ES1067683,,,PBMC : NA,GEO
150,,6,blood draw,EFO_0009121,3.0,Days,UO_0000035,,,GSE79396,GSM2094587,PBMC,NCIT_C12519,ES1067684,,,PBMC : NA,GEO
151,,7,blood draw,EFO_0009121,3.0,Days,UO_0000035,,,GSE79396,GSM2094591,PBMC,NCIT_C12519,ES1067685,,,PBMC : NA,GEO
152,,8,blood draw,EFO_0009121,3.0,Days,UO_0000035,,,GSE79396,GSM2094588,PBMC,NCIT_C12519,ES1067686,,,PBMC : NA,GEO
153,,9,blood draw,EFO_0009121,3.0,Days,UO_0000035,,,GSE79396,GSM2094589,PBMC,NCIT_C12519,ES1067687,,,PBMC : NA,GEO
154,,10,blood draw,EFO_0009121,3.0,Days,UO_0000035,,,GSE79396,GSM2094590,PBMC,NCIT_C12519,ES1067688,,,PBMC : NA,GEO
155,,11,blood draw,EFO_0009121,3.0,Days,UO_0000035,,,GSE79396,GSM2094592,PBMC,NCIT_C12519,ES1067689,,,PBMC : NA,GEO
156,,12,blood draw,EFO_0009121,3.0,Days,UO_0000035,,,GSE79396,GSM2094593,PBMC,NCIT_C12519,ES1067690,,,PBMC : NA,GEO
157,,13,blood draw,EFO_0009121,3.0,Days,UO_0000035,,,GSE79396,GSM2094594,PBMC,NCIT_C12519,ES1067691,,,PBMC : NA,GEO
158,,14,blood draw,EFO_0009121,3.0,Days,UO_0000035,,,GSE79396,GSM2094595,PBMC,NCIT_C12519,ES1067692,,,PBMC : NA,GEO
159,,15,blood draw,EFO_0009121,3.0,Days,UO_0000035,,,GSE79396,GSM2094596,PBMC,NCIT_C12519,ES1067693,,,PBMC : NA,GEO
160,,16,blood draw,EFO_0009121,3.0,Days,UO_0000035,,,GSE79396,GSM2094597,PBMC,NCIT_C12519,ES1067694,,,PBMC : NA,GEO
161,,17,blood draw,EFO_0009121,3.0,Days,UO_0000035,,,GSE79396,GSM2094598,PBMC,NCIT_C12519,ES1067695,,,PBMC : NA,GEO
162,,18,blood draw,EFO_0009121,3.0,Days,UO_0000035,,,GSE79396,GSM2094599,PBMC,NCIT_C12519,ES1067696,,,PBMC : NA,GEO
163,,19,blood draw,EFO_0009121,3.0,Days,UO_0000035,,,GSE79396,GSM2094600,PBMC,NCIT_C12519,ES1067697,,,PBMC : NA,GEO
164,,20,blood draw,EFO_0009121,3.0,Days,UO_0000035,,,GSE79396,GSM2094612,PBMC,NCIT_C12519,ES1067698,,,PBMC : NA,GEO
165,,21,blood draw,EFO_0009121,3.0,Days,UO_0000035,,,GSE79396,GSM2094601,PBMC,NCIT_C12519,ES1067699,,,PBMC : NA,GEO
166,,22,blood draw,EFO_0009121,3.0,Days,UO_0000035,,,GSE79396,GSM2094606,PBMC,NCIT_C12519,ES1067700,,,PBMC : NA,GEO
167,,23,blood draw,EFO_0009121,3.0,Days,UO_0000035,,,GSE79396,GSM2094607,PBMC,NCIT_C12519,ES1067701,,,PBMC : NA,GEO
168,,24,blood draw,EFO_0009121,3.0,Days,UO_0000035,,,GSE79396,GSM2094602,PBMC,NCIT_C12519,ES1067702,,,PBMC : NA,GEO
169,,25,blood draw,EFO_0009121,3.0,Days,UO_0000035,,,GSE79396,GSM2094603,PBMC,NCIT_C12519,ES1067703,,,PBMC : NA,GEO
